id,company_rating,company_location,total_fleet_count,iata_approved
3686,"",United Kingdom,1.0,false
47844,1.0,Kiribati,3.0,true
47152,"",Isle of Man,2.0,false
34510,1.0,Jersey,2.0,true
45987,1.0,Jersey,6.0,true
45987,1.0,Jersey,6.0,true
46132,1.0,Croatia,1.0,true
20649,"","",1.0,true
1539,1.0,Micronesia,3.0,false
15926,"",Russian Federation,1.0,true
16661,1.0,Russian Federation,2.0,true
2580,"",Uzbekistan,1.0,true
13458,"",Lebanon,1.0,true
36524,1.0,Saint Helena,8.0,true
37740,"",Turkmenistan,1.0,false
4306,0.83,China,3.0,false
3877,1.0,Monaco,1.0,false
44913,1.0,Russian Federation,2.0,false
41712,0.8,Zimbabwe,2.0,true
10079,1.0,Rwanda,1.0,false
27316,1.0,Puerto Rico,5.0,false
23518,"",Turks and Caicos Islands,1.0,false
33823,0.78,France,17.0,true
16559,"",Somalia,1.0,true
36985,1.0,Kiribati,7.0,true
49208,1.0,Guinea,1.0,false
39576,"",Bouvet Island (Bouvetoya),1.0,false
43461,"",Guinea,1.0,false
38718,"",Uzbekistan,1.0,true
19806,0.6,Papua New Guinea,1.0,false
19934,1.0,Svalbard & Jan Mayen Islands,2.0,true
18734,1.0,Niue,1.0,false
34301,"",Turks and Caicos Islands,1.0,false
34296,"",Kenya,3.0,false
1741,1.0,Malawi,2.0,true
22324,1.0,Venezuela,6.0,true
1874,"",Uzbekistan,1.0,true
24938,"",Barbados,2.0,false
44408,1.0,Peru,3.0,false
42262,"",Turkmenistan,1.0,false
932,1.0,Indonesia,2.0,false
13767,1.0,Ukraine,1.0,true
8896,1.0,Russian Federation,2.0,true
36497,1.0,Niue,2.0,true
4138,"",Gambia,1.0,false
8945,"",Guinea,1.0,false
9412,"",Uganda,2.0,false
9412,"",Uganda,2.0,false
14063,1.0,Denmark,10.0,true
30934,1.0,Malta,1.0,true
10865,0.88,Isle of Man,2.0,true
8616,0.53,Canada,4.0,true
39630,0.83,Senegal,1.0,true
10670,0.5,Russian Federation,1.0,true
3075,"",Turks and Caicos Islands,2.0,true
40523,"",French Guiana,1.0,true
22017,0.5,Barbados,2.0,false
19362,1.0,Nauru,1.0,true
846,0.9,Marshall Islands,1.0,true
32689,1.0,"",1.0,false
2512,"",Cape Verde,6.0,true
3131,1.0,Tanzania,3.0,false
8584,1.0,Costa Rica,7.0,true
3396,"",Chad,4.0,true
1082,"",Denmark,1.0,false
37611,"",Turkmenistan,1.0,true
19028,"",Turkmenistan,1.0,true
7347,1.0,Lebanon,2.0,false
47550,1.0,Guinea,4.0,true
4167,1.0,Niue,1.0,true
16587,"",Cocos (Keeling) Islands,2.0,false
5307,1.0,Zimbabwe,3.0,true
25348,1.0,Suriname,2.0,false
10212,"",Turkmenistan,2.0,false
10212,"",Turkmenistan,2.0,false
11276,1.0,Nicaragua,1.0,true
14629,"",Bosnia and Herzegovina,2.0,true
14629,"",Bosnia and Herzegovina,2.0,true
22404,1.0,French Guiana,1.0,true
103,1.0,Brazil,1.0,true
24633,"",Chad,3.0,true
28479,0.4,Uzbekistan,1.0,true
1854,1.0,Senegal,1.0,false
41656,1.0,Gambia,4.0,true
4401,1.0,Guinea,1.0,false
24861,1.0,Rwanda,1.0,true
24765,0.0,Tanzania,4.0,true
30216,0.98,Maldives,34.0,false
30216,0.98,Maldives,34.0,false
15889,0.8,Finland,1.0,true
24765,0.0,Tanzania,4.0,true
24765,0.0,Tanzania,4.0,true
5499,"",Kenya,1.0,false
33438,"",Chad,1.0,true
37653,1.0,Marshall Islands,1.0,true
42439,1.0,Cape Verde,3.0,true
2152,"",Lebanon,1.0,true
23029,1.0,Anguilla,1.0,false
21840,"",Lebanon,1.0,true
41431,1.0,Nicaragua,2.0,false
46691,0.9,Uzbekistan,38.0,false
21035,1.0,El Salvador,1.0,true
39657,1.0,"",2.0,true
17310,"",Lebanon,1.0,true
12186,"",Croatia,1.0,true
42489,1.0,Tonga,3.0,false
44977,1.0,"",1.0,true
31381,1.0,Niue,2.0,false
31381,1.0,Niue,2.0,false
41431,1.0,Nicaragua,2.0,false
15477,"","",1.0,true
45932,0.0,Peru,1.0,false
28732,1.0,Kenya,1.0,true
49839,0.9,Malta,2.0,false
34885,1.0,Moldova,1.0,true
28269,1.0,Anguilla,2.0,true
12745,1.0,Congo,2.0,false
2199,1.0,Faroe Islands,1.0,false
31474,1.0,Senegal,1.0,true
38249,1.0,Holy See (Vatican City State),1.0,false
18961,"",Kiribati,2.0,false
35346,1.0,"",1.0,false
49791,0.3,Faroe Islands,2.0,false
24713,"",Lebanon,1.0,true
10009,"",French Polynesia,1.0,false
24246,1.0,Croatia,2.0,true
2115,1.0,Jersey,2.0,true
2115,1.0,Jersey,2.0,true
42026,1.0,"",1.0,true
39416,"","",1.0,false
41173,0.8,Nicaragua,1.0,false
23956,1.0,Sao Tome and Principe,1.0,false
29872,"",Gibraltar,2.0,true
9295,1.0,Nauru,2.0,false
9527,"",Denmark,1.0,true
15760,0.9,Isle of Man,1.0,false
45447,"","",1.0,false
41207,1.0,Svalbard & Jan Mayen Islands,1.0,true
29494,0.56,"",2.0,true
29494,0.56,"",2.0,true
8429,1.0,Cape Verde,2.0,true
30365,1.0,"",1.0,true
35320,"","",1.0,true
26402,1.0,Barbados,1.0,true
11024,"",Kenya,1.0,false
40245,"","",1.0,false
21324,"",Bouvet Island (Bouvetoya),1.0,false
27401,1.0,"",1.0,false
15515,1.0,Jersey,1.0,true
17451,0.5,"",1.0,false
49316,1.0,Chad,1.0,true
20801,"",Faroe Islands,2.0,false
1769,"",Chile,2.0,true
4464,0.9,Faroe Islands,2.0,true
44185,0.0,Turkmenistan,1.0,true
16946,1.0,Philippines,2.0,true
43313,"","",1.0,false
26730,"","",1.0,false
19141,"",Indonesia,1.0,true
30404,1.0,Niue,3.0,true
30404,1.0,Niue,3.0,true
22856,"",Sao Tome and Principe,2.0,true
11338,"",Sao Tome and Principe,1.0,false
22030,1.0,French Guiana,3.0,true
28391,1.0,Kiribati,1.0,true
23838,"","",1.0,false
31871,1.0,Uzbekistan,1.0,true
37632,1.0,Costa Rica,2.0,false
30578,"","",1.0,false
18476,"","",1.0,false
4120,1.0,Zimbabwe,1.0,true
33427,1.0,Switzerland,5.0,true
33427,1.0,Switzerland,5.0,true
42693,0.86,"",1.0,true
31449,1.0,"",1.0,true
34822,"",Sao Tome and Principe,1.0,false
35401,"","",1.0,false
10543,1.0,Pakistan,1.0,true
23125,1.0,Nicaragua,2.0,true
14700,1.0,Montserrat,3.0,false
14700,1.0,Montserrat,3.0,false
177,0.9,Svalbard & Jan Mayen Islands,1.0,false
28767,"",Afghanistan,1.0,false
7279,1.0,France,1.0,true
20297,0.8,Montserrat,17.0,false
20976,"",Jersey,2.0,false
20976,"",Jersey,2.0,false
47358,1.0,Mexico,2.0,true
31011,"","",1.0,false
18327,1.0,Palestinian Territory,2.0,true
38159,1.0,"",1.0,false
19668,1.0,Canada,1.0,true
42428,1.0,Uganda,2.0,false
38742,"",Malta,1.0,false
27429,1.0,Tonga,1.0,false
49221,"","",2.0,false
41656,1.0,Gambia,4.0,true
15619,"",Denmark,2.0,false
2284,"",Turks and Caicos Islands,1.0,false
40418,0.7,Micronesia,1.0,true
22074,"",Jersey,1.0,false
2564,0.91,Uzbekistan,2.0,false
43265,1.0,Anguilla,3.0,false
29235,1.0,Malta,6.0,false
48879,1.0,Russian Federation,1.0,true
36636,1.0,Kiribati,1.0,false
8495,1.0,San Marino,3.0,false
35043,1.0,Niger,1.0,true
11887,"",Isle of Man,2.0,false
39761,1.0,Ecuador,2.0,true
47358,1.0,Mexico,2.0,true
9367,"",Lebanon,1.0,false
16273,"",Lebanon,1.0,true
2526,1.0,Brazil,1.0,false
9359,"",Kiribati,1.0,false
47328,"",Gambia,1.0,false
18842,"",Kiribati,1.0,false
33626,"",Monaco,1.0,true
17574,"",Lebanon,1.0,true
29407,1.0,Niue,1.0,false
11793,"",Estonia,1.0,false
37662,1.0,Kenya,2.0,true
14149,1.0,Wallis and Futuna,1.0,true
3597,"","",1.0,false
26216,"",Bosnia and Herzegovina,4.0,true
34056,"",Moldova,1.0,true
15504,0.0,Rwanda,2.0,true
31852,"",Jersey,1.0,true
18495,1.0,Russian Federation,2.0,false
38354,1.0,Niue,3.0,false
6883,1.0,Niue,1.0,true
31659,"",Svalbard & Jan Mayen Islands,1.0,true
3016,"",Malta,1.0,false
22504,1.0,Zimbabwe,1.0,true
39977,"",Lebanon,1.0,true
34587,"",Isle of Man,22.0,true
34587,"",Isle of Man,22.0,true
47320,1.0,Niue,1.0,true
37791,0.9,Marshall Islands,3.0,false
10195,1.0,Croatia,1.0,true
25988,1.0,Russian Federation,2.0,false
44672,"",France,1.0,false
7802,1.0,Anguilla,1.0,true
