id,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id
45417,Uzbekistan,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,2.0,false,false,1637.0,27340
22857,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,false,false,1325.0,22515
22549,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,true,false,1520.0,30576
36339,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,false,false,1221.0,25594
19224,Barbados,Type V5,Plasma,ThetaBase Services,2.0,5,strict,3.0,false,false,4120.0,15703
31881,Costa Rica,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,1156.0,16591
925,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,4,strict,1.0,false,false,2625.0,25476
24292,Costa Rica,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,true,false,1637.0,49802
9324,Brazil,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,true,false,1715.0,11559
14927,Barbados,Type V7,Plasma,ThetaBase Services,1.0,3,strict,2.0,false,false,2690.0,39109
12267,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,4,strict,1.0,false,false,2625.0,25476
61230,United Kingdom,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,false,false,1845.0,5957
43330,Micronesia,Type V5,Plasma,ThetaBase Services,1.0,4,strict,0.0,false,false,4289.0,10325
46807,United Kingdom,Type L0,Quantum,ThetaBase Services,0.0,2,moderate,1.0,false,false,1455.0,45562
21534,Niue,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,true,false,1234.0,38335
75307,Costa Rica,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,1.0,false,false,1572.0,11708
36738,Russian Federation,Type F5,Plasma,ThetaBase Services,2.0,6,strict,3.0,false,false,2820.0,33834
19437,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,4,strict,1.0,false,false,3145.0,29647
15010,Niue,Type O3,Quantum,ThetaBase Services,2.0,4,flexible,2.0,true,false,1650.0,36947
17757,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,true,false,1767.0,4646
23698,Niue,Type F5,Quantum,ThetaBase Services,1.0,3,flexible,2.0,true,false,1286.0,38335
76671,Uzbekistan,Type V5,Plasma,ThetaBase Services,2.0,5,flexible,4.0,true,false,2365.0,47035
74652,Russian Federation,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,true,false,1286.0,36524
9648,Barbados,Type V5,Plasma,ThetaBase Services,4.0,7,strict,4.0,false,false,11010.0,19157
58145,Sao Tome and Principe,Type V2,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2430.0,46234
49296,Mexico,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,false,false,1273.0,8798
56880,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,true,false,1130.0,43188
27164,Isle of Man,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,true,false,1260.0,39343
2941,Micronesia,Type V5,Plasma,ThetaBase Services,3.0,8,strict,4.0,false,false,7695.0,10325
45085,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,true,false,2521.0,29647
25410,Gambia,Type Z6,Plasma,ThetaBase Services,2.0,5,flexible,3.0,true,false,1910.0,45004
35045,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,false,false,1845.0,43318
14092,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,true,false,1390.0,28861
57453,Malta,Type F5,Plasma,ThetaBase Services,4.0,7,strict,5.0,false,false,2820.0,26574
28791,Micronesia,Type V5,Plasma,ThetaBase Services,0.0,2,flexible,1.0,true,false,4120.0,25022
15864,Micronesia,Type G0,Plasma,ThetaBase Services,3.0,6,strict,3.0,false,false,12570.0,32203
31371,Barbados,Type V5,Plasma,ThetaBase Services,3.0,10,moderate,5.0,true,false,3860.0,39143
42515,Barbados,Type V5,Plasma,ThetaBase Services,4.0,12,strict,6.0,true,false,5420.0,46611
56593,Barbados,Type V5,Plasma,ThetaBase Services,1.0,6,strict,3.0,true,false,3470.0,46611
24339,Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,8,strict,4.0,true,false,4120.0,46611
13004,Barbados,Type V5,Plasma,ThetaBase Services,1.0,6,strict,3.0,true,false,3470.0,46611
20488,Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,true,false,3470.0,46611
54401,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2495.0,9262
19386,Gambia,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,true,false,1195.0,20972
64756,Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1.0,2,moderate,2.0,false,false,1247.0,4011
64793,Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,true,false,1403.0,36825
31670,Malta,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,true,false,2144.0,6824
26401,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,2.0,false,false,1325.0,20549
372,United Kingdom,Type V5,Plasma,ThetaBase Services,3.0,12,moderate,0.0,false,false,4120.0,36598
45781,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,true,false,1767.0,15119
31672,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,true,false,1715.0,2874
62063,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,false,false,2495.0,38177
34258,Niue,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1546.0,45025
22945,Niue,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,2.0,false,false,1390.0,42238
50712,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,true,false,1325.0,48756
468,Bouvet Island (Bouvetoya),Type V2,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1377.0,4011
11029,Kiribati,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,true,false,1325.0,47834
58311,Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,true,false,1429.0,14876
75906,United Kingdom,Type E3,Plasma,ThetaBase Services,1.0,4,moderate,2.0,true,false,1780.0,46330
50656,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2105.0,11815
40987,Barbados,Type V5,Plasma,ThetaBase Services,2.0,5,strict,2.0,true,false,2001.0,20263
62696,Rwanda,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,false,false,2105.0,27802
36151,Isle of Man,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1390.0,45828
70783,Costa Rica,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,1325.0,21350
29187,Indonesia,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,false,false,1767.0,47289
70620,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,false,false,3470.0,30600
69989,Malta,Type F5,Plasma,ThetaBase Services,2.0,5,strict,3.0,true,false,2430.0,13388
43335,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,true,false,1195.0,40004
5247,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,1390.0,32904
27443,Niue,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,true,false,1780.0,34021
18986,Niue,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1377.0,48579
10845,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2495.0,12430
73656,Malta,Type Z6,Plasma,ThetaBase Services,0.0,3,strict,0.0,true,false,2157.0,7331
2795,Rwanda,Type V5,Plasma,ThetaBase Services,1.0,3,strict,1.0,false,false,2820.0,38516
18495,Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,false,false,1780.0,2179
6974,Niue,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,true,false,1585.0,4174
56185,Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1715.0,10467
54453,Niue,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2170.0,21173
35360,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,true,false,1273.0,32701
55764,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,2.0,4,flexible,2.0,true,false,1299.0,3542
55950,Malta,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,false,false,2209.0,24203
56004,Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,false,false,1520.0,12832
31525,Malta,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,true,false,1520.0,32223
38644,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,true,false,2820.0,4909
20284,Anguilla,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,false,false,1195.0,25448
34745,Malta,Type V5,Plasma,ThetaBase Services,2.0,6,moderate,3.0,false,false,2820.0,8984
6340,Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1.0,2,flexible,3.0,false,false,1260.0,13293
62560,Switzerland,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,false,false,1195.0,6181
17162,United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,1897.0,3648
15871,Indonesia,Type V5,Plasma,ThetaBase Services,2.0,5,strict,3.0,true,false,2950.0,21969
65582,Rwanda,Type V5,Plasma,ThetaBase Services,3.0,6,strict,3.0,false,false,4900.0,1949
51333,Malta,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1650.0,46903
69669,Malta,Type V5,Plasma,ThetaBase Services,2.0,6,strict,2.0,false,false,2170.0,9994
54659,Nicaragua,Type V5,Plasma,ThetaBase Services,0.0,2,strict,1.0,false,false,3600.0,1949
64344,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,2.0,true,false,2040.0,14434
13339,Wallis and Futuna,Type F5,Plasma,ThetaBase Services,2.0,6,strict,3.0,false,false,2495.0,13046
63907,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,false,false,3015.0,41272
13632,Faroe Islands,Type V5,Quantum,ThetaBase Services,0.0,2,flexible,1.0,false,false,1767.0,40111
60261,Niue,Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,false,false,2430.0,24761
4241,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,false,false,2820.0,40313
8138,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,true,false,1325.0,2744
74172,Malta,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,false,false,1780.0,2890
12053,Micronesia,Type F5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,false,false,4705.0,37111
23971,Malta,Type V2,Plasma,ThetaBase Services,2.0,6,strict,2.0,true,false,4120.0,8766
41524,Faroe Islands,Type V5,Plasma,ThetaBase Services,0.0,2,flexible,1.0,false,false,1364.0,7970
36920,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,true,false,3080.0,29647
63630,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,false,false,1390.0,48575
9507,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,5,strict,6.0,false,false,1325.0,11712
63855,Indonesia,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,false,false,1195.0,38787
70005,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,false,false,2170.0,32800
22434,Barbados,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,4315.0,7734
75294,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,3.0,6,strict,3.0,true,false,2300.0,40433
28205,Micronesia,Type G0,Plasma,ThetaBase Services,2.0,5,strict,2.0,true,false,4770.0,2743
48608,Costa Rica,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,true,false,1455.0,45689
55081,Niue,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,1910.0,23340
39752,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,false,false,1234.0,11761
46060,Micronesia,Type V5,Plasma,ThetaBase Services,2.0,5,moderate,2.0,false,false,2417.0,20613
77095,Guinea,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,1.0,false,false,2820.0,39371
37921,Barbados,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,true,false,3847.0,18078
8592,Malta,Type V5,Plasma,ThetaBase Services,3.0,6,moderate,3.0,true,false,3860.0,22857
23913,Malta,Type V2,Quantum,ThetaBase Services,1.0,2,moderate,1.0,true,false,1325.0,37110
30906,Uzbekistan,Type F5,Plasma,ThetaBase Services,2.0,5,moderate,3.0,false,false,2040.0,21232
40362,Wallis and Futuna,Type Y4,Plasma,ThetaBase Services,1.0,2,strict,1.0,true,false,1702.0,47101
56764,United Kingdom,Type F5,Plasma,ThetaBase Services,2.0,4,strict,2.0,true,false,2794.0,29647
48542,Sao Tome and Principe,Type F5,Plasma,ThetaBase Services,3.0,8,strict,4.0,true,false,4081.0,29647
28637,Russian Federation,Type Z6,Plasma,ThetaBase Services,2.0,16,strict,2.0,false,false,8423.0,11616
30421,Gambia,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,false,false,1260.0,747
23998,Gambia,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,true,false,2430.0,19433
64569,Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,false,false,2820.0,47716
61908,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,4,moderate,1.0,true,false,1767.0,50041
43425,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,1260.0,41297
43734,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,false,false,2755.0,34306
67764,Malta,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,true,false,1455.0,31735
14534,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,1364.0,31613
66421,Barbados,Type F5,Plasma,ThetaBase Services,5.0,11,strict,6.0,false,false,8020.0,4330
55834,Nicaragua,Type V5,Plasma,ThetaBase Services,0.0,2,strict,1.0,false,false,2547.0,34306
32487,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,false,false,2495.0,23176
22610,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,1195.0,24509
22258,Anguilla,Type V5,Plasma,ThetaBase Services,2.0,3,flexible,2.0,false,false,1520.0,13954
42087,Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,5,moderate,2.0,false,false,3457.0,28172
9292,Uzbekistan,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,false,false,1325.0,28489
38984,Faroe Islands,Type V5,Plasma,ThetaBase Services,2.0,3,moderate,3.0,true,false,2300.0,40344
23852,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,3002.0,19019
24497,Rwanda,Type V5,Quantum,ThetaBase Services,2.0,4,moderate,2.0,false,false,2027.0,24444
47225,Micronesia,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,false,false,3665.0,20187
30633,Kenya,Type F5,Quantum,ThetaBase Services,3.0,1,flexible,1.0,true,false,1195.0,12505
48227,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,false,false,2300.0,16725
30348,Anguilla,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,3.0,true,false,2820.0,38188
52694,Micronesia,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,true,false,2040.0,22005
71463,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,3860.0,28697
12674,Niue,Type Z6,Quantum,ThetaBase Services,1.0,1,moderate,1.0,true,false,1195.0,7246
45112,Kenya,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,false,false,1325.0,30318
30791,Malta,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,false,false,1975.0,28697
40142,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,3,strict,2.0,true,false,1650.0,14339
39238,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,4,strict,1.0,false,false,1910.0,26488
50085,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,true,false,2430.0,26488
67964,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,false,false,2560.0,6338
3817,Rwanda,Type F5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,true,false,2144.0,22149
68333,Kiribati,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,false,false,1325.0,11416
7988,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,3,flexible,1.0,true,false,1325.0,16566
21861,Gambia,Type F5,Plasma,ThetaBase Services,2.0,4,flexible,2.0,true,false,1780.0,19562
22123,Micronesia,Type V5,Plasma,ThetaBase Services,3.0,6,strict,3.0,false,false,3470.0,10487
31425,Gambia,Type V2,Quantum,ThetaBase Services,1.0,1,strict,2.0,false,false,1208.0,13723
12840,Gambia,Type V5,Plasma,ThetaBase Services,1.0,4,moderate,2.0,false,false,1910.0,40535
35486,Uzbekistan,Type F5,Quantum,ThetaBase Services,1.0,3,strict,2.0,true,false,13870.0,2303
59945,Isle of Man,Type W5,Quantum,ThetaBase Services,1.0,3,flexible,1.0,false,false,1390.0,45828
20420,Micronesia,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,false,false,2105.0,35950
55128,Kiribati,Type F5,Plasma,ThetaBase Services,3.0,6,strict,5.0,false,false,3873.0,33604
64164,Malta,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,false,false,1780.0,29904
58132,Russian Federation,Type N0,Plasma,ThetaBase Services,0.0,2,flexible,1.0,true,false,1975.0,21402
62397,Niue,Type V5,Plasma,ThetaBase Services,3.0,5,flexible,3.0,false,false,2430.0,39305
4584,Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1507.0,47493
33163,United Kingdom,Type V5,Plasma,ThetaBase Services,0.0,2,flexible,1.0,false,false,1780.0,3853
22440,Niue,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,false,false,1494.0,18843
27711,Barbados,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,false,false,4120.0,10954
26093,Micronesia,Type V5,Plasma,ThetaBase Services,3.0,6,moderate,3.0,false,false,2560.0,17827
45682,Nicaragua,Type G0,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,4380.0,32203
67262,Niue,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,false,false,1312.0,43739
72689,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,false,false,2430.0,22721
2151,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,moderate,3.0,false,false,2170.0,26329
23189,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,3470.0,46312
36310,Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,2,strict,2.0,true,false,2300.0,14514
57950,Barbados,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2820.0,1256
15620,Niue,Type F5,Plasma,ThetaBase Services,3.0,8,strict,4.0,false,false,2170.0,37805
28923,United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,2.0,true,false,1975.0,43288
62027,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,false,false,1767.0,45675
44653,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,1520.0,46582
31906,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1728.0,23494
63390,Micronesia,Type F5,Plasma,ThetaBase Services,2.0,6,strict,2.0,true,false,4120.0,11599
20158,Micronesia,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,2.0,false,false,2690.0,8967
27650,Kiribati,Type F5,Quantum,Warwick Technology Multinational,1.0,2,strict,2.0,true,false,1221.0,47205
33157,Barbados,Type V5,Plasma,ThetaBase Services,2.0,10,flexible,5.0,true,false,2690.0,13265
66803,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,false,false,2430.0,6945
68663,Brazil,Type V5,Quantum,ThetaBase Services,1.0,2,strict,2.0,true,false,1169.0,30448
14689,Barbados,Type V5,Plasma,ThetaBase Services,2.0,3,strict,2.0,false,false,2040.0,35051
49398,Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,true,false,1325.0,37043
12224,Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,true,false,1390.0,37043
42130,Rwanda,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,false,false,2196.0,5908
21697,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,6,strict,4.0,true,false,3600.0,29647
24370,Guinea,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,3470.0,24418
76881,Nicaragua,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,false,false,1715.0,13354
22033,Indonesia,Type F5,Plasma,ThetaBase Services,4.0,8,strict,4.0,false,false,5225.0,33604
45941,United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,2.0,false,false,1780.0,42993
69615,Gambia,Type F5,Plasma,ThetaBase Services,3.0,6,strict,3.0,false,false,2157.0,36178
26995,Micronesia,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,true,false,1897.0,20981
42834,Faroe Islands,Type V5,Plasma,ThetaBase Services,1.0,4,flexible,3.0,true,false,1624.0,15006
27978,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,2040.0,10843
16951,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2820.0,44547
60537,Gambia,Type F5,Plasma,ThetaBase Services,2.0,5,flexible,2.0,true,false,1780.0,29537
40291,Malta,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,1.0,false,false,1975.0,21882
11181,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,3.0,false,false,1754.0,3633
27460,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,4,moderate,2.0,true,false,1845.0,11831
55454,Nicaragua,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,false,false,1910.0,44361
3129,Rwanda,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,false,false,1780.0,1402
68326,Malta,Type V5,Plasma,ThetaBase Services,2.0,7,strict,4.0,true,false,1923.0,863
55866,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,1507.0,12332
13637,Costa Rica,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2040.0,9973
50453,Uzbekistan,Type N0,Quantum,ThetaBase Services,1.0,2,flexible,1.0,true,false,1104.0,2229
11795,Malta,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,false,false,2846.0,23582
40908,Barbados,Type F5,Quantum,ThetaBase Services,0.0,2,flexible,1.0,false,false,1546.0,37736
1858,Estonia,Type F5,Quantum,ThetaBase Services,1.0,3,flexible,1.0,false,false,1520.0,24787
66788,Niue,Type V2,Quantum,ThetaBase Services,1.0,6,strict,6.0,true,false,2157.0,10853
75968,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,2.0,false,false,2287.0,40822
34818,Barbados,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,1650.0,26933
38904,Malta,Type V2,Plasma,ThetaBase Services,3.0,6,strict,3.0,true,false,2430.0,4730
57915,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,true,false,3067.0,29647
10313,Uzbekistan,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,2.0,false,false,4120.0,29973
21613,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,true,false,3158.0,29647
18646,United Kingdom,Type V5,Plasma,ThetaBase Services,0.0,2,strict,1.0,false,false,1455.0,294
54096,Niue,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2690.0,16999
74455,Micronesia,Type V5,Plasma,ThetaBase Services,3.0,5,strict,3.0,false,false,2742.0,20638
44149,Russian Federation,Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,true,false,4250.0,29647
73709,Malta,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,2.0,false,false,1325.0,21908
